,Atlanta,Bellevue,Chicago,Dallas,Denver,Indianapolis,New York,San Francisco,Seattle,The Ranch,postal_code,state,latitude,longitude
1169,0.084397904,0.627102902,0.127614236,0.31264273,0.388212815,0.094735214,0.092393165,0.664541011,0.627104008,0.662913382,15063,Pennsylvania,40.199925,-79.93207
1170,0.089216888,0.625910222,0.127264512,0.318049159,0.389977067,0.0969379,0.088943338,0.665871722,0.625911328,0.664439828,15068,Pennsylvania,40.56886,-79.763535
1171,0.088401523,0.621375703,0.12263488,0.314460624,0.385387073,0.092435191,0.093345934,0.661245449,0.62137681,0.659826534,15090,Pennsylvania,40.62742,-80.0555
1172,0.088067967,0.623271465,0.124434818,0.315116583,0.386910213,0.093833933,0.09206148,0.662844132,0.623272571,0.661394422,15101,Pennsylvania,40.556495,-79.965325
1173,0.085789755,0.62303363,0.123789806,0.312096845,0.385342563,0.092032039,0.094246566,0.661469621,0.623034737,0.659935157,15106,Pennsylvania,40.40309,-80.08861
1174,0.08665011,0.620902657,0.121827989,0.311963341,0.383909975,0.090751979,0.095215362,0.659915463,0.620903764,0.658433951,15108,Pennsylvania,40.516445,-80.166375
1175,0.086615019,0.622667323,0.123566602,0.312932392,0.385497934,0.092277104,0.093807648,0.661546192,0.622668429,0.660046763,15136,Pennsylvania,40.470055,-80.06913
1176,0.086825764,0.620496022,0.121457606,0.311951512,0.383642991,0.090520234,0.095399688,0.659623797,0.620497128,0.658152765,15143,Pennsylvania,40.53871,-80.18083
1177,0.087128112,0.624154319,0.125126425,0.314426455,0.387151961,0.093936491,0.092160162,0.663189723,0.624155425,0.66169556,15201,Pennsylvania,40.468115,-79.96157
1178,0.086591441,0.624255698,0.125131563,0.31380539,0.386926166,0.093654452,0.092554773,0.663012505,0.624256804,0.661496866,15203,Pennsylvania,40.42795,-79.98191
1179,0.086285576,0.623043404,0.123881475,0.31272992,0.385644744,0.092379457,0.093795673,0.661729863,0.62304451,0.660214254,15205,Pennsylvania,40.43751,-80.064075
1180,0.087304133,0.62470392,0.125700464,0.314958793,0.387753674,0.094538527,0.09156557,0.663788946,0.624705027,0.662296116,15206,Pennsylvania,40.46626,-79.9226
1181,0.086578495,0.6250104,0.125874403,0.314214874,0.387601818,0.094307361,0.091968338,0.663706486,0.625011506,0.662182947,15207,Pennsylvania,40.40752,-79.940785
1182,0.087320458,0.625208173,0.126200435,0.31526268,0.388219097,0.094989331,0.091149435,0.66426477,0.62520928,0.662767582,15208,Pennsylvania,40.454305,-79.89393
1183,0.087257431,0.62386501,0.124864693,0.31442645,0.386966496,0.09377429,0.092279092,0.662986266,0.623866117,0.661499858,15209,Pennsylvania,40.48459,-79.971385
1184,0.086763932,0.623684287,0.124597411,0.313699806,0.386510115,0.093272427,0.092857929,0.662568598,0.623685393,0.661065096,15212,Pennsylvania,40.4546716,-80.0052795
1185,0.086883497,0.623797273,0.124730141,0.313915102,0.386683428,0.093454278,0.092661807,0.662734162,0.623798379,0.661234133,15212-4213,Pennsylvania,40.46015,-79.99322001
1186,0.086828192,0.624475108,0.125389358,0.314228508,0.387264923,0.094009296,0.092169245,0.663336002,0.624476214,0.661827255,15213,Pennsylvania,40.43886,-79.958295
1187,0.08758071,0.624279291,0.125333371,0.315069255,0.387533465,0.094362287,0.091663743,0.663534591,0.624280398,0.662056483,15215,Pennsylvania,40.49659,-79.932765
1188,0.087655067,0.624696416,0.125758371,0.315398031,0.387954858,0.094777306,0.091263878,0.663959305,0.624697523,0.66247994,15215-2938,Pennsylvania,40.49103002,-79.90604998
1189,0.085941535,0.623772712,0.124545504,0.312710105,0.386104038,0.092787206,0.093521761,0.662234645,0.623773819,0.660698878,15216,Pennsylvania,40.39489,-80.04017
1190,0.086858944,0.625071918,0.125983589,0.314603508,0.387823083,0.094552578,0.091668128,0.66390528,0.625073024,0.662391836,15217,Pennsylvania,40.425545,-79.9238
1191,0.087018402,0.625620208,0.126552323,0.315112367,0.388412607,0.095140876,0.091092273,0.664493887,0.625621314,0.662981083,15218,Pennsylvania,40.42239,-79.88583
1192,0.086754138,0.624139203,0.125044822,0.313945127,0.386916826,0.093664178,0.092502755,0.662986559,0.624140309,0.661478267,15219,Pennsylvania,40.44233,-79.980495
1193,0.086660282,0.623852982,0.124745825,0.313664382,0.386601778,0.093348643,0.092814657,0.66267304,0.623854088,0.661163946,15222,Pennsylvania,40.443105,-80.00092
1194,0.086058638,0.624774847,0.125555173,0.313425863,0.387081939,0.09374915,0.092624121,0.663225087,0.624775953,0.661684027,15227,Pennsylvania,40.3772728,-79.9789995
1195,0.087323882,0.622729426,0.123756681,0.31386596,0.385975414,0.092830261,0.093140557,0.661962977,0.622730532,0.660490047,15229,Pennsylvania,40.5181,-80.03145
1196,0.087122794,0.624692118,0.125655878,0.314723043,0.387635637,0.094402372,0.091735071,0.663686349,0.624693224,0.662186716,15232,Pennsylvania,40.45387,-79.932025
1197,0.087913538,0.625218394,0.12632156,0.316017369,0.388579613,0.095412157,0.090620251,0.66457377,0.6252195,0.663099103,15238,Pennsylvania,40.49558,-79.8646804
1198,0.088352712,0.627633765,0.128780702,0.317912204,0.391012733,0.097808531,0.088319738,0.667026986,0.627634871,0.665544639,15239,Pennsylvania,40.4624432,-79.7106508
1199,0.085352499,0.623992283,0.124670067,0.312090677,0.385956108,0.092586758,0.093884182,0.662140664,0.623993389,0.660580273,15241,Pennsylvania,40.3480957,-80.0565524
1200,0.085644413,0.623614414,0.12434134,0.312244427,0.385784871,0.092447191,0.093916096,0.661936909,0.62361552,0.660391319,15243,Pennsylvania,40.378165,-80.063355
1201,0.083730229,0.623056038,0.123515619,0.309505519,0.38415038,0.090696786,0.096125464,0.660446384,0.623057145,0.658832968,15317,Pennsylvania,40.25871,-80.1873
1202,0.086960618,0.628991974,0.129863611,0.316907832,0.39141009,0.098044236,0.088535893,0.667575206,0.62899308,0.666025768,15642,Pennsylvania,40.328055,-79.704365
1203,0.091331654,0.640714806,0.142136068,0.328530024,0.404299542,0.110957565,0.075868147,0.680401562,0.640715912,0.678885565,15904,Pennsylvania,40.292715,-78.870325
1204,0.089360451,0.621332395,0.12279976,0.315654893,0.385922679,0.093116293,0.092601215,0.66169039,0.621333501,0.660308549,16046,Pennsylvania,40.6957361,-80.0119421
1205,0.093255564,0.617387437,0.119952269,0.318367937,0.384693937,0.092929897,0.09315109,0.659966353,0.617388543,0.658769891,16057,Pennsylvania,41.0647158,-80.0513378
1206,0.090252279,0.612217613,0.114028082,0.311462219,0.378090043,0.086016597,0.099878923,0.653549318,0.612218719,0.652281725,16112,Pennsylvania,40.970219,-80.4936556
1207,0.092588928,0.627255901,0.129377719,0.323049035,0.393198461,0.100593768,0.085100283,0.668810776,0.627257008,0.667493566,16226,Pennsylvania,40.77027,-79.52707
1208,0.09075998,0.625981358,0.127679923,0.320038359,0.390961397,0.098133647,0.087605332,0.666715046,0.625982464,0.665341227,16229,Pennsylvania,40.67535,-79.68528
1209,0.099325082,0.610903424,0.115843147,0.322447272,0.382548407,0.093347699,0.095686575,0.656921573,0.610904529,0.656014482,16335,Pennsylvania,41.6398579,-80.1470091
1210,0.104726301,0.607856359,0.115482959,0.327721592,0.383224567,0.096701607,0.096542707,0.656768835,0.607857464,0.656095055,16509,Pennsylvania,42.088805,-80.08219
1211,0.105544843,0.608364334,0.116395539,0.329086305,0.384221663,0.097969847,0.09580238,0.65766586,0.608365438,0.657019382,16510,Pennsylvania,42.13666,-80.01451
