,Atlanta,bell,chicago,denver,indiana,ny,sf,seattle,ranch,dallas
0,289.9686829955465,633.6345149213922,278.91007697551186,477.8306200266133,264.9467961854958,136.0213479132654,679.2893945754026,633.6353260542475,679.1998758328168,431.0834293472792
1,288.84472628378023,633.1805908130895,278.1239858368029,477.03731501705823,264.02080205459004,134.89232710289122,678.5743504985709,633.1814021961201,678.465817871941,430.0400781654149
2,290.014930795082,635.8413157576714,280.56266095645134,479.4631258589241,266.2119858337363,135.81444962019955,681.0916348113899,635.8421271816648,680.9632441317212,431.8476939458846
3,294.9183952311769,636.7382453896854,283.2021515872024,482.13244258501015,269.64666282067503,140.85451642702924,683.3303012389276,636.7390555438254,683.3044261209848,436.0401413700263
4,295.0011084583357,637.0468326362634,283.4608352074993,482.391081170322,269.86595662281167,140.9073171955557,683.6056456768965,637.0476428115339,683.5761704647714,436.20688903956886
5,293.9862609508467,633.807337370384,280.683078355376,479.60947975209774,267.47493624531705,140.29210508771723,680.6643176889992,633.8081473720815,680.6686779777823,434.33127134740494
6,293.2872150900501,634.4632019725367,280.87073276132276,479.80090293606605,267.40801216381743,139.43284905041435,680.9832775720049,634.4640122739551,680.9590372045897,433.9940895210169
7,298.94782048898935,639.3779634991797,286.7892930181149,485.71389432307404,273.53506164176906,144.80629469067537,686.7051133476439,639.3787728429298,686.7287200527381,440.10533252567683
8,290.677005566216,638.8423497153461,283.05021199361454,481.91866532616757,268.2937808444858,136.361722620257,683.7167088594043,638.8431613752888,683.5491901597591,433.34751942608796
9,296.8490465621699,643.1031516230894,288.6247160348028,487.5355729120044,274.3064752317673,142.54619932226774,689.0552092939593,643.1039621668926,688.9588252932762,439.62312910579595
10,296.9299929645289,643.5611166661142,288.9912814875059,487.89848366556305,274.60755659578933,142.63981980606516,689.4472012381152,643.5619272563507,689.3441894637291,439.8318366511727
11,294.1030793228324,639.453869400408,284.85454081183843,483.768742508549,270.6555614684851,139.80839754125938,685.2720170801293,639.4546801901635,685.1766446419259,436.27262131224325
12,293.7835030902809,640.3929670241776,285.4168006397714,484.3172964146397,270.9889242496529,139.46835465058768,685.9284126622093,640.3937780423887,685.8078450857279,436.3189231575284
13,293.95971160760075,637.0050943427724,283.0036038112638,481.9315544291099,269.21446268302174,139.82087571480594,683.2511210156991,637.005904816039,683.1971852938777,435.365049808857
14,294.2754522228219,638.8132975016132,284.45448643000765,483.3752568478503,270.40308321928205,140.01216872187476,684.8091353651026,638.8141081479439,684.7297655091461,436.20348023076235
15,293.96647195461094,637.9105358981766,283.6686747789272,482.592682819207,269.7187086117368,139.75071078563786,683.9851106554304,637.9113465014514,683.914806599663,435.6652569149013
16,293.9906574972755,637.8629694328255,283.643658508275,482.56807837565776,269.7068889549978,139.77927597765333,683.9541593741623,637.8637800221843,683.8853129915522,435.66905493066287
17,292.6425547739617,637.4202267056953,282.77519774276277,481.69171037684896,268.6557259270079,138.41645301356942,683.1801077754287,637.4210376167596,683.0866454146312,434.4525914973106
18,291.03701389416517,628.702773231933,275.725202981687,474.642448392661,262.8682564872672,138.26321617197547,675.5924700869843,628.7035833822802,675.6159611581253,430.26704056228886
19,308.7679983975999,627.9176761280952,283.26996163049773,481.4661566459845,273.94627114893,158.12011803076405,680.2850541618792,627.9184803242933,680.7436129601037,444.04921348528126
20,309.23985126681714,627.8155471753671,283.43270763435146,481.59085222437204,274.21490375717127,158.67715790841908,680.3406899996703,627.8163511815612,680.8120966583566,444.3878006506209
21,299.91381345145777,611.0511638444702,267.36558646165156,465.1568697895842,259.56314726500017,155.90225121676428,663.5244584504975,611.0519686658075,664.0466068200705,430.93431567501756
22,273.25818806300504,624.174337418755,265.35286998116317,464.0436090254318,249.70982689258432,120.00430068054655,666.4145766489054,624.175151639177,666.0894352893432,414.6301140166591
23,261.01679113085993,623.41541431032,260.6952262481377,458.60711805024505,242.59776975876952,106.76095603310091,661.965944546209,623.4162309328672,661.3569292098567,404.6871061095053
24,254.71153607108488,620.6171456910384,256.5406345365361,454.0260227441631,237.56828455504547,100.80555842519881,657.7003865783017,620.6179631437042,656.987661524273,398.7375413469642
25,253.31790396266,620.3133579749601,255.9010432524095,453.25334681330037,236.67767653579364,101.04429944361331,657.0118313873462,620.3141756188893,656.2704797305678,397.5314968528108
26,253.56410936411052,620.5821005685207,256.19481927452557,453.5527209871662,236.9791209785032,100.76326927431104,657.3081460773724,620.5829181942657,656.5679810616282,397.81929291656803
27,253.63892807053782,620.7332391050703,256.3426541595468,453.69628472623174,237.11741138828936,100.6764507756715,657.4545555603547,620.7340567301775,656.7134973361909,397.930821885933
28,254.71213421541083,618.2521185024142,254.55812945227748,452.2307126390155,235.99379678621827,103.38320923827897,655.7734177752463,618.2529357841473,655.102792006568,397.90755571305846
29,255.16581632201655,620.2427394842395,256.35411644238764,453.91953658910165,237.54487104791988,101.60587414105149,657.5397752705737,620.2435568384903,656.8448619037999,398.96576330370283
30,249.04371584070995,621.3504129395734,255.67685484656627,452.3831685890843,235.34942899469186,106.14957934153492,656.4889342554757,621.3512312503731,655.6237563944227,394.51267043315664
31,245.14341189635311,617.8426680761029,251.70711022731194,448.2176343795753,231.10859111346736,109.24947680017421,652.4035479999854,617.8434866678601,651.506334637677,390.21913424274175
32,244.7653648711349,618.3019556291795,252.0181233411927,448.42304000896985,231.26080199477423,109.74347591992381,652.6549236820582,618.3027742909301,651.7401016234211,390.0815432377181
33,247.93413949479097,618.3480950648562,252.82144234693052,449.67581246432957,232.7528026814628,106.3880819058673,653.7042296865654,618.3489133365936,652.8663788212069,392.5969426248999
34,254.15390448390193,620.9434867305702,256.6606615635767,454.0558488439473,237.51132703826667,100.1658409576581,657.7885808469447,620.9443042925247,657.0563378400302,398.4104306417035
35,254.1704439959271,621.0549570342412,256.759017791427,454.14663549433016,237.59421536787212,100.16535322429357,657.8842671461231,621.0557746016294,657.1504171121215,398.4620986638827
36,253.95456866691669,621.2835409722358,256.89249584561367,454.2355114313308,237.64184236204082,100.57937310792175,658.0010881983698,621.2843585886404,657.2578173914811,398.3705944848192
