,Atlanta,bell,chicago,denver,indiana,ny,sf,seattle,ranch,dallas
0,265.91914024617927,566.0777688474052,256.2605250774444,429.9982431049762,244.06495943387057,131.46113865735234,605.9528591032752,566.078477292944,605.8746732014122,389.1691255676338
1,264.9374735401225,565.6813103543577,255.57395103885514,429.30536845288714,243.2561937591804,130.4750489544421,605.3283377527281,565.6820190184003,605.233545075245,388.2578599403734
2,265.95953319419687,568.005194419222,257.70389621093017,431.4240779313946,245.1699793528082,131.2804331517786,607.5269403979225,568.0059031190415,607.414803645431,389.83663624950844
3,270.2422317455346,568.7885750852267,260.00923417104195,433.7554660804998,248.16983513803552,135.68244056787512,609.4821974597602,568.789282675953,609.4595980646644,393.4983306992047
4,270.31447369257967,569.0580959864394,260.23516911567924,433.9813616914645,248.36136691336864,135.7285568959988,609.7226840057476,569.0588035956213,609.6969402790594,393.64396854609765
5,269.4281032484181,566.2287124224185,257.8090690793483,431.55190380113345,246.27304351664174,135.1912290459974,607.1537205153527,566.2294198800014,607.1575288028805,392.0057991909853
6,268.8175547812334,566.8015462663509,257.97296692402006,431.71909330630024,246.21459185035079,134.44075259528697,607.4323009041138,566.8022539857104,607.4111293043673,391.7113037096314
7,273.76154221250334,571.0941117258626,263.14225279691937,436.88351531389196,251.56597274954544,139.13393394882928,612.4297671051409,571.0948186087921,612.4503852625736,397.04887919407275
8,266.53779101581796,570.6263052584158,259.8765297360796,433.56875246838206,246.98822451251405,131.75842280890333,609.8196868772952,570.627014164314,609.6733756107117,391.14658771240556
9,271.928467623482,574.3477006913072,264.7453160182612,438.47457411639624,252.23972737903733,137.15996079447856,614.482346997574,574.3484086223664,614.3981649614897,396.6277214769754
10,271.99916642116614,574.7476885472174,265.0654752350194,438.7915413094464,252.50269262296578,137.2417291677502,614.8247137778886,574.7483965188317,614.7347430270687,396.8100071882082
11,269.53013271737683,571.1604081367911,261.45243520386737,435.18461467603345,249.0510098327304,134.76875762084805,611.17809710961,571.1611162826655,611.094798574818,393.7013792834707
12,269.25101400732444,571.980618436121,261.94351439531385,435.6637230798085,249.34216975008755,134.4717632785311,611.7513947127875,571.9813267815291,611.6460906789017,393.74181943518613
13,269.40491498319454,569.0216416526926,259.8358220287769,433.5800098443085,247.79235041727557,134.77965608997482,609.4130412475076,569.022349522145,609.3659336482337,392.9087039794191
14,269.68068365512624,570.6009309796198,261.10302666958466,434.8409432798178,248.83049467529463,134.9467318983001,610.7738150196262,570.6016390002267,610.7044931816574,393.64099128364825
15,269.41081948780027,569.8124566546546,260.4166967362148,434.15744109427845,248.23276011873676,134.71837385892798,610.0541097018101,569.8131646376563,609.9927059572307,393.17090564416316
16,269.43194320346754,569.7709119804947,260.3948474605693,434.1359515094924,248.22243679989694,134.74332277169316,610.0270767725053,569.7716199513424,609.9669461634408,393.1742228409761
17,268.2545067897983,569.3842193347527,259.6363315763764,433.3705294272377,247.30434828597728,133.55302966157114,609.3510180993447,569.3849275865787,609.2693878311112,392.11176052445074
18,266.85222322281595,561.7703728696665,253.47884787404857,427.21368573414355,242.24955747256027,133.41919220683707,602.7239556703457,561.7710804570802,602.7444728327839,388.45608948623186
19,282.3385110579387,561.084667023711,260.06845963866215,433.1735302139241,251.9251241992126,150.76226177183585,606.8224707674774,561.0853694107554,607.2229772107185,400.4934750492022
20,282.7506285772513,560.995467331616,260.21060242036765,433.2824396553769,252.15974861571453,151.24878184517618,606.8710632524471,560.9961695527104,607.2827910503253,400.7891979572399
21,274.6052429703824,546.3534114666238,246.17753713208515,418.9289567896525,239.36286650891802,148.82517114638785,592.1837230191896,546.3541143996664,592.6397687589105,389.03888929968434
22,251.32415064802314,557.8152252898935,244.41962533980418,417.95663195197227,230.75695094966912,117.47180807807229,594.7079597466766,557.8159364321211,594.4239804402648,374.7987573005664
23,240.63248283011575,557.1523798793821,240.3516272278485,413.2083866394528,224.54526181008646,105.90503652794507,590.8225129345394,557.1530931196321,590.29059736082,366.1145084159511
24,235.12545671373599,554.7083648124358,236.7229960556305,409.207246122051,220.15249639357654,100.70357681708089,587.09696354637,554.7090787777134,586.4744676363513,360.9181431273476
25,233.90825481706997,554.4430358336049,236.1643753698529,408.53238896077534,219.3746370405479,100.91209384153044,586.4955776574229,554.4437499659325,585.8480791983445,359.8647807393309
26,234.1232912530155,554.67775631157,236.42096010922066,408.7938631403952,219.63791939834334,100.66664136305552,586.7543796759251,554.6784704280154,586.1079176322025,360.1161425675642
27,234.18863810518607,554.8097611012381,236.5500794810788,408.91925208230225,219.75870260078594,100.59081386125578,586.882254097947,554.8104752171266,586.2350119236751,360.2135522585606
28,235.12597913454104,552.642743934259,234.99147097514353,407.6392176216463,218.7773346942239,102.95490372011126,585.4139439978708,552.6434577502437,584.8282177128249,360.1932315228515
29,235.5222262626788,554.381357460722,236.56009066862944,409.11424083814154,220.13204697575054,101.40257463822645,586.9566852137951,554.3820713400439,586.3497460776041,361.11747277605747
30,230.1751678299848,555.3488023283946,235.96856863495262,407.77237304369777,218.21454219449964,105.37105854045984,586.0388779467701,555.3495170431686,585.2832293598433,357.2281299177152
31,226.7686322529516,552.2851288703665,232.5013833924302,404.13418466543766,214.5105833941289,108.07851701771214,582.4706909993437,552.2858438305298,581.6870625225642,353.4781442774705
32,226.4384450009912,552.6862718099849,232.77302305243455,404.31358647469096,214.6435247724883,108.50997712965673,582.6902431717895,552.6869868312804,581.8912352139837,353.3579719369607
33,229.20606097274197,552.7265701127271,233.47464395475222,405.40776118517334,215.94664204044284,105.57936729849584,583.6067097565847,552.7272847933841,582.8749286385461,355.5549282832168
34,234.63841983975988,554.9933919224434,236.827827972233,409.2332963149305,220.10274955075238,100.14484592238227,587.1739926492576,554.994105983174,586.5344497085857,360.632443789297
35,234.65286549244345,555.0907503746705,236.91373255663848,409.3125896107508,220.17514443272825,100.14441993479717,587.2575653110389,555.0914644401471,586.6166187887427,360.67757077382424
36,234.46431942040164,555.2903961787478,237.03031263522382,409.39021408454926,220.21674197291418,100.50602597455702,587.3595971209445,555.2911102870355,586.7104224711841,360.59765078659393
37,234.57574599962862,555.1870098732069,236.973644000001,409.3553882055258,220.20188152283384,100.29945666408258,587.3111596125517,555.1877239572734,586.6665851793248,360.6499530834928
38,234.61865880863584,555.2414415688654,237.0312136156282,409.4132624527708,220.2594605072074,100.3043381253784,587.3689212714012,555.2421556502959,586.7244138342593,360.7026715675706
39,234.51306685799986,555.1414383499575,236.91812936862152,409.296518543565,220.1405543860461,100.33378360086262,587.2543043181681,555.1421524402879,586.6090183387188,360.5846780416768
40,234.17696856415975,555.1582756263679,236.8408203523,409.1784879200862,219.9874600583475,100.72250696518206,587.1612186254642,555.1589897685494,586.5073937336255,360.32499021449576
41,234.2227235306316,555.1865009612522,236.87703989433598,409.21763706637273,220.02879461672825,100.68933798338001,587.1986348599839,555.18721509856,586.5454203969706,360.3708906785017
42,234.22231793349715,555.1569181724813,236.8519800516204,409.1951002428425,220.0086898353464,100.67054302524545,587.1745243024243,555.1576323077643,586.521835259662,360.360346622547
43,234.20505413096373,555.11957195229,236.81579588352452,409.1601305657341,219.97512711923676,100.66744380719852,587.138762627726,555.1202860875328,586.4863262274407,360.333798006953
44,234.18666619544175,555.1134737544935,236.8056608195589,409.14836439097775,219.9620417167007,100.68475517109454,587.1279776794684,555.1141878920663,586.4752010395936,360.31716369426175
45,234.27331642609806,555.1201432452519,236.83482556322753,409.18711679093695,220.0088710722604,100.59056898773773,587.1609069824597,555.1208573702768,586.5101327726888,360.3879201828622
46,234.6221018497214,555.3083899955564,237.08852432158014,409.4652317023069,220.30608573053567,100.36780313807003,587.4242933290869,555.3091040812383,586.778659137118,360.72852354076576
47,234.6767578723841,555.1994998536177,237.01181484753587,409.404158414478,220.2598239291819,100.20725416028091,587.3533547002794,555.2002139232204,586.711028668761,360.73406992917387
48,234.539742411029,555.0238093221781,236.82636935014918,409.2179010079635,220.07467553136274,100.24564424916608,587.1673595808163,555.0245234000952,586.5248516852334,360.56503826794534
49,234.5789973303158,554.9911410738355,236.80962484776785,409.20845952146925,220.0720340199716,100.20049028651154,587.153311863846,554.9918551434579,586.5123547387018,360.5847289783891
50,234.45533462102551,555.1500627891979,236.90962712500524,409.2805743954205,220.11805626824224,100.40422730038982,587.2429686080175,555.1507768888825,586.5961125538347,360.5420545590753
