,Atlanta,bell,chicago,denver,indiana,ny,sf,seattle,ranch,dallas
0,257.7978349604452,543.264488582769,248.6119835868116,413.8456975214168,237.01335878789692,129.9211987125451,581.1877981050623,543.2651623517629,581.113439197343,375.01505784248116
1,256.86421825631646,542.8874356896445,247.9590155406375,413.1867372601932,236.24418006465208,128.9833755056194,580.5938454311472,542.888109666447,580.5036926057725,374.14839626960776
2,257.83625077995464,545.097571745018,249.98470550165834,415.20174148527894,238.0642908897497,129.74933826592837,582.6848322626558,545.0982457558464,582.578184309102,375.6498956330852
3,261.9093225074637,545.8426079889498,252.17720323530145,417.41901431971746,240.91731162864747,133.935879003237,584.5443846367298,545.8432809449721,584.522891422552,379.1323597755068
4,261.97802840131124,546.0989365513137,252.39207925896446,417.63385293498754,241.09946842760903,133.97973805845783,584.7730999991505,546.0996095248883,584.748616360137,379.27086903305184
5,261.13504345783764,543.4080438670055,250.0847304349381,415.32331061507796,239.113362965564,133.46871099269333,582.3298805111801,543.4087166964013,582.3335023930554,377.71288375690017
6,260.5543797314151,543.9528390017348,250.24060591142327,415.4823166339392,239.05777235451782,132.75496838930712,582.5948251230178,543.953512080094,582.574689817364,377.4328030543705
7,265.25637198841764,548.0352946782283,255.156868844228,420.39395377484357,244.1472172412782,137.21843086607078,587.3476785047313,548.0359669610987,587.3672874576159,382.50911826509974
8,258.38620440293846,547.5903861062933,252.05099433320834,417.24143984756125,239.79353773374362,130.20393158720438,584.8653548354066,547.5910603131133,584.7262051202927,376.89572841911416
9,263.51302157664844,551.1296290258906,256.6814663394726,421.90713443596206,244.78799335469498,135.34107850295936,589.299790012956,551.1303023055875,589.2197284660062,382.1085751099445
10,263.58025985423535,551.5100385288537,256.9859546050948,422.2085869190367,245.03808714194693,135.41884452953929,589.6253988403394,551.5107118471203,589.5398319210069,382.2819384153117
11,261.2320788527894,548.098346054306,253.5497633754675,418.77820985241704,241.7553551409178,133.0669184320381,586.1572744616133,548.0990195383035,586.0780531708926,379.3254696659113
12,260.9666222690712,548.8784092179318,254.01680553280636,419.2338671606389,242.03226354653063,132.78446118121354,586.702510655793,548.8790828916964,586.6023609772502,379.3639303786218
13,261.112990197175,546.0642665612713,252.01227916105256,417.2521462045608,240.5583037915879,133.07728344978133,584.478613439077,546.0649397823768,584.4338116328202,378.5715937320054
