,Atlanta,bell,chicago,denver,indiana,ny,sf,seattle,ranch,dallas
0,262.70554847720064,557.0505783770975,253.23400543383917,423.60669818589037,241.2746486406251,130.8517860770415,596.1533510953802,557.0512731011647,596.0766795309848,383.56837618821856
1,261.7428951052401,556.6617986590734,252.5607292503131,422.92724342179963,240.4815474800552,129.88479537469289,595.5409257373069,556.6624935974123,595.4479690443139,382.67476033731776
2,262.7451590775935,558.9406727588919,254.64942074747637,425.0049168430392,242.3582660685012,130.67458055178625,597.6969449207418,558.9413677323149,597.5869800800879,384.22295824214956
3,266.94490852014746,559.7088805783128,256.9101079513081,427.29114968483543,245.30001938378305,134.99132803477102,599.6143317405397,559.709574464124,599.5921700600436,387.813731451978
4,267.01575125474443,559.9731812852284,257.1316668928072,427.51267005449296,245.48784149104657,135.0365511624342,599.8501604418468,559.9738751891377,599.8249153304965,387.95654852373116
5,266.146548406554,557.198598413395,254.7525565834957,425.1302669275115,243.43996562116152,134.50963050447493,597.3309537180028,557.1992921686414,597.3346882450143,386.35010792244407
6,265.5478252991548,557.7603373702448,254.9132799857022,425.29421823594663,243.38264607135454,133.77368959765195,597.6041384444974,557.7610313821978,597.583376905209,386.06131635357116
7,270.396055500177,561.9697626145407,259.9824449532738,430.3586135436019,248.63037917208055,138.37597143866248,602.5048116159466,561.970455806264,602.5250304322249,391.2955114286297
8,263.3122169582484,561.5110168197265,256.7799737917176,427.1080524205734,244.14129469037692,131.143312303973,599.945284520935,561.5117119952367,599.8018070725675,385.5075380135548
9,268.5984846716167,565.1603346989704,261.55445937117065,431.91885604929973,249.2910842382223,136.44023102751183,604.517636276779,565.1610289185228,604.4350847138146,390.8825108715267
10,268.6678141452194,565.5525754216715,261.8684176094148,432.2296840882951,249.54895626058413,136.52041567650116,604.8533719531379,565.5532696809933,604.7651437937024,391.0612659963524
11,266.2466017257982,562.034774968668,258.3253564588661,428.692617928624,246.16412711597013,134.09534168377058,601.2773844919082,562.035469398875,601.195699318211,388.0128473057698
12,265.9728891044458,562.8390990895687,258.80692422176253,429.16244675910485,246.44964772545427,133.80409965292588,601.8395782257187,562.8397937154448,601.7363137646998,388.0525041955994
13,266.12380926141475,559.9374330143669,256.74005452843005,427.119091758903,244.92984594603573,134.10602906675848,599.5465149749244,559.9381271735056,599.5003197754679,387.2355248707651
14,266.3942367295954,561.4861340006462,257.9827154161949,428.355602904714,245.9478829889521,134.2698688804804,600.8809327076672,561.4868283080118,600.8129535242442,387.95362892615447
15,266.1295994050892,560.712931178396,257.3096786099555,427.68533907729454,245.36172560696335,134.04593377576558,600.1751669454804,560.7136254488848,600.1149524944801,387.4926481032657
16,266.15031398773726,560.6721911589779,257.28825252028037,427.66426571183484,245.35160223450947,134.07039946748353,600.1486576013326,560.672885417548,600.0896916272226,387.49590105121405
17,264.99568265829066,560.2929881392165,256.5444278911076,426.9136686467523,244.451295645491,132.9031604554944,599.4856931172101,560.2936826733228,599.4056438983823,386.4540169521877
18,263.6205591098688,552.8266098582961,250.50620492575123,420.8760732946612,239.49440814888123,132.77191522093625,592.986986423678,552.8273037408588,593.0071062010752,382.86915048986697
19,278.8069020016586,552.1541850518834,256.9681863151344,426.7204849971492,248.9825744252489,149.77907691225505,597.0061197547179,552.1548738347997,597.398869020532,394.6733909008808
20,279.211037455334,552.0667130169827,257.1075760155942,426.8272850346833,249.2126545372628,150.25617385996435,597.0537710799788,552.0674016371632,597.4575243605085,394.96338612312076
21,271.22341510653496,537.7082506550596,243.34630904447425,412.751806468674,236.6636278312716,147.8795046736578,582.6509014365022,537.7089399733992,583.0981142903169,383.4406623911431
22,248.39324078284037,548.9480672421736,241.62244522795956,411.79831402784987,228.22439526811763,117.13340674266541,585.1262476842146,548.9487646106991,584.8477686085797,369.47633926442916
23,237.9086536889851,548.2980601006657,237.63323781627753,407.14203472980444,222.13301673923849,105.79066529414067,581.3160558419127,548.2987595265781,580.7944426329893,360.96029056873687
24,232.5082899731752,545.901381746595,234.07488750044777,403.21838998663446,217.82533225290098,100.68994964504479,577.6626644629455,545.9020818834924,577.0522253158156,355.8645706709864
25,231.3146633553499,545.6411917711436,233.52708641532104,402.55660374300874,217.0625388073415,100.89442802396816,577.0729264691107,545.6418920718556,576.4379690328187,354.8316102492218
26,231.5255348750624,545.8713660840617,233.77870151342103,402.81301358062336,217.32072180157542,100.65372957244476,577.3267159011493,545.8720663691992,576.6927748064842,355.0781035957293
27,231.58961606188564,546.0008141493827,233.90532004691897,402.9359739367082,217.43916562409703,100.57937072962726,577.4521135975236,546.0015144339739,576.8174074822059,355.1736266148159
28,232.50880227551414,543.8757686833218,232.37689932678285,401.6807317224481,216.47680526435687,102.89767190069016,576.0122423457015,543.876468673818,575.437860653966,355.153699459672
29,232.89737472243323,545.5807080109566,233.91513733357388,403.12718606822386,217.8052789080097,101.37540898207554,577.5251031001806,545.5814080635632,576.9299194167326,356.0600396191317
30,227.65388036885668,546.5294149990867,233.33507214770722,401.8113081342198,215.9249131667325,105.26702961714989,576.6250723107485,546.530115870964,575.884059443821,352.24602719088784
31,224.3133240072102,543.5250800585616,229.93504080882946,398.2435857203387,212.29269419996893,107.92204889863224,573.1259955105143,543.5257811710753,572.3575446800221,348.5686728514648
32,223.98953196097202,543.918453492823,230.20141923752425,398.41951279981276,212.42306071373696,108.34515230946127,573.3412953040411,543.9191546652851,572.5577628687865,348.4508280594449
33,226.7035435812699,543.9579712810702,230.88945085078652,399.4924950737974,213.7009386577648,105.47130376345129,574.2400113781414,543.9586721194912,573.5224037049153,350.60523283015243
34,232.03068623444244,546.1808883315244,234.17768898834976,403.24393562840976,217.77654892787464,100.14204048556981,577.7382016337351,546.1815885620263,577.1110456300194,355.58440487800954
35,232.04485209764243,546.2763611042559,234.2619297365941,403.32169313828996,217.84754163529436,100.14162274869163,577.8201556250145,546.2770613394116,577.1916232248345,355.6286578240996
36,231.85995786531177,546.4721400843383,234.3762518431311,403.3978141485959,217.88833349680723,100.49622505041823,577.9202112398651,546.4728403614761,577.283610078058,355.5502857608326
37,231.96922628763582,546.3707562082943,234.32068078989573,403.36366279186086,217.87376087018106,100.29365666132561,577.8727118895297,546.3714564616799,577.2406218453252,355.6015750448231
38,232.01130794328964,546.4241336479527,234.37713537296762,403.4204161063172,217.93022464054147,100.2984435764237,577.9293547962498,546.4248338987534,577.297330450522,355.653272455104
39,231.90776114201336,546.3260673334952,234.26624138927139,403.3059333423002,217.81362154320055,100.32731873954064,577.8169577924267,546.3267675930234,577.1841699835268,355.53756427750113
40,231.57817254144342,546.3425784984466,234.19042972652915,403.190188785634,217.6634924109016,100.70851314606696,577.7256750226131,546.3432788088218,577.0845136865742,355.28290619349923
41,231.62304130645938,546.3702571531608,234.22594775322466,403.2285796747714,217.70402638415163,100.67598659507034,577.7623665637485,546.3709574587565,577.1218038334925,355.3279176379918
42,231.622643565101,546.3412473362985,234.2013732800943,403.2064793539285,217.68431100064075,100.6575556655986,577.7387229896194,546.3419476399088,577.0986755030539,355.31757780375244
43,231.60571413516402,546.3046244534247,234.16588994220152,403.1721869842504,217.6513983413484,100.65451647451174,577.7036539620942,546.3053247569953,577.0638542247198,355.2915433929236
44,231.58768234491953,546.2986443680908,234.15595117842219,403.1606487017209,217.63856638239832,100.67149254462281,577.6930779012555,546.2993446739463,577.0529445141951,355.27523126060447
45,231.67265429742417,546.3051846813439,234.18455104705552,403.19865052888093,217.6844887272819,100.57913059892259,577.7253694156416,546.3058849748945,577.0871996747758,355.3446173077415
46,232.01468429810572,546.4897853893267,234.43333606103585,403.4713787935464,217.97594680691265,100.36067937202742,577.9836543846078,546.4904856442964,577.350525107515,355.6786237163973
47,232.06828171990844,546.3830042775055,234.3581123283836,403.41148839887126,217.93058102360615,100.20323997443967,577.914089725032,546.3837045167077,577.284204534545,355.6840626800194
48,231.9339200316996,546.2107165942539,234.1762586174726,403.22883850423034,217.7490186579132,100.24088650791907,577.7316970373563,546.2114168416092,577.1016335052248,355.51830489517675
49,231.97241464518126,546.1786810783002,234.15983842966372,403.2195798844219,217.7464283084269,100.19660710622543,577.7179214024832,546.1793813175215,577.0893786048155,355.5376142276498
50,231.85114708731302,546.3345247309651,234.25790382068936,403.2902980071303,217.79155917841524,100.3963980558349,577.8058416370832,546.3352249996663,577.1715141633183,355.4957663444575
