,Atlanta,bell,chicago,denver,indiana,ny,sf,seattle,ranch,dallas
0,268.36426441822823,572.9462833356827,258.5633117627962,434.86137510862847,246.18802199394867,131.92477649019753,613.4090065005867,572.9470022214714,613.3296683854329,393.430565312841
1,267.36813104492427,572.543982296422,257.86661979100666,434.15828967219284,245.36733766721042,130.92415493903385,612.7752816775051,572.5447014039346,612.6790920553012,392.50587050791574
2,268.40525263074295,574.902113073821,260.02795362877544,436.308222237752,247.30932641695486,131.7414079561206,615.006284782734,574.902832217638,614.8924954886268,394.10791299423806
3,272.75106463441614,575.6970382970089,262.36726499040464,438.6739676858966,250.3533906032276,136.20828706045432,616.9903561591672,575.6977563153881,616.9674237203542,397.8235692568772
4,272.8243711996282,575.970531085187,262.5965295026472,438.90319228481235,250.54774495209196,136.25508299762404,617.2343867174113,575.9712491222936,617.2082636094876,397.97135334572437
5,271.92493845418426,573.0994513423279,260.13467641314924,436.43793185715015,248.42864626320275,135.70983663193843,614.6275648176843,573.1001692256013,614.631429227344,396.30904254748395
6,271.30539243064106,573.6807269481708,260.3009895944793,436.6075852076562,248.3693332039349,134.94830052827015,614.9102506016482,573.6814450970787,614.888766999379,396.01020713272067
7,276.322238624056,578.0365512670858,265.5464544170844,441.8481144869388,253.7995765584861,139.71064455439097,619.9813636730061,578.0372685672376,620.0022856769693,401.4264416243012
8,268.99203214657734,577.5618508095924,262.2326049111376,438.4845025047582,249.15436676848793,132.22644167135033,617.3328191049607,577.5625701625249,617.1843516723433,395.4371690050094
9,274.4621503042491,581.3380878593896,267.173141728004,443.46262047179573,254.48326020357052,137.7075812693446,622.0641921112225,581.3388062231171,621.9787694977642,400.9990773724256
10,274.5338909789517,581.7439702731765,267.4980190805881,443.7842587603225,254.7501007247779,137.7905546502223,622.4116042967206,581.7446886780565,622.3203076611518,401.18404939940285
11,272.0284715153171,578.1038246777543,263.83173424897694,440.1241774186276,251.24755103026536,135.28113931210265,618.7112480143832,578.1045432594626,618.6267219222364,398.0296101360692
12,271.74523947690614,578.9361222867585,264.330050396929,440.6103463673004,251.54300172535198,134.97976821105684,619.292994213818,578.9368410709412,619.1861383310119,398.0706462479152
13,271.90140846715735,575.9335395296796,262.1912973007799,438.49592577885625,249.97034294974068,135.29219839024813,616.9201808027341,575.9342578308924,616.8723789862077,397.2252533012211
14,272.18124109846497,577.5361025940563,263.47717653629434,439.7754413913098,251.02378617577264,135.46173636838031,618.3010080830734,577.5368210486511,618.2306646601239,397.9683322078283
15,271.9073999855152,576.73600864746,262.78073226706425,439.0818665419836,250.41724289943394,135.2300130526385,617.5706965816263,576.7367270638954,617.5083879397583,397.4913189904982
16,271.928834998045,576.6938517359968,262.75856100209353,439.06006026857966,250.40676744747435,135.2553296335918,617.5432652723107,576.6945701400989,617.4822485279547,397.4946850723168
17,270.7340468898585,576.3014604617913,261.98886698908086,438.2833582819549,249.4751492080864,134.04749536184693,616.8572436292299,576.3021791510125,616.7744103886223,396.41656541639
18,269.31109809136274,568.5754099435353,255.74064142166614,432.0357821554888,244.34586674057695,133.91168556567467,610.1325192275929,568.5761279585529,610.1533387482143,392.7070213312921
19,285.0256049051083,567.8795989587973,262.4273632543898,438.08345592233985,254.16402076635887,151.51033720847343,614.2914334945772,567.8803116968086,614.6978421380343,404.9217999446641
20,285.4437957352319,567.789084744924,262.5716007718257,438.19397034503504,254.40210280584085,152.00402705131563,614.3407420793253,567.7897973145398,614.7585374447511,405.2218808745045
21,277.178372866788,552.931251214553,248.33173241613693,423.62896246865785,241.41663506799682,149.5446999843346,599.436956832104,552.9319645066089,599.8997232458839,393.29840977357446
22,253.5541907628361,564.5619759783763,246.54791455533814,422.64230863336974,232.68389548998002,117.7292873550123,601.9983928376802,564.5626976005944,601.7102285730687,378.8484231976274
23,242.7049615244543,563.8893623197098,242.41996699752204,417.8240891794026,226.38066566834038,105.99205811888322,598.0556868093643,563.8900860708687,597.5159324798216,370.0361959083967
24,237.1167792337279,561.4093301886192,238.73786126066085,413.76398448595495,221.92316476148187,100.71394531754312,594.275234588106,561.4100546754903,593.6435650541501,364.76325260501375
25,235.8816396249005,561.1400910985212,238.1710082700402,413.0791820612499,221.13384221798754,100.92553522445824,593.6649861702691,561.1408157549042,593.007945628636,363.6943669818053
26,236.09984501884944,561.3782706151089,238.43137425819864,413.34450954456946,221.4010045263189,100.67646555156371,593.9276021132546,561.3789952553757,593.2716132604667,363.94943308961257
27,236.1661548772625,561.5122207385195,238.5623964418526,413.4717463235151,221.5235676917449,100.59952059184272,594.057361000443,561.512945378221,593.4005805204449,364.04827829184467
28,237.11730935336584,559.3132685817112,236.98081896846142,412.1728481971232,220.52773752129667,102.99844966967079,592.5674126462604,559.3139929170893,591.973054605435,364.0276580926619
29,237.51939591286563,561.0775037811959,238.57255516269345,413.66960859786155,221.90241398381426,101.42324415921085,594.1328889958932,561.0782281808447,593.5170054934845,364.96551974328355
