,Atlanta,bell,chicago,denver,indiana,ny,sf,seattle,ranch,dallas
0,289.35740195253425,631.9173862993229,278.3343803041739,476.6148370257002,264.4160305454763,135.9054384550541,677.4253577260747,631.9181948221155,677.3361270368116,430.0180694109774
1,288.2370619075798,631.4649228275733,277.550818648765,475.8240847122318,263.4930160775825,134.78005060674326,676.7126145173767,631.4657315997365,676.6044311269269,428.97807552352936
2,289.40350093594554,634.1170860940216,279.98164660199,478.24208978233474,265.67714906769965,135.69920591911406,679.221798715187,634.1178949070156,679.0938211709223,430.7798747597022
3,294.29118700895646,635.0111295867398,282.61264388236174,480.90281718366094,269.10077395437696,140.72305480388442,681.4532615640758,635.0119371339666,681.4274697070623,434.95883173060815
4,294.3736340815735,635.3187238615765,282.87049511075736,481.16062352198503,269.31936211313086,140.77568567014936,681.7277199989807,635.3195314298658,681.6983396321643,435.12504283966217
5,293.36205214940514,632.0896526404066,280.10167652192575,478.3879727380936,266.9360355586768,140.162453191232,678.7958566134163,632.0904600356815,678.8002028716664,433.25546050828024
6,292.66525567769816,632.7434068020817,280.28872709370796,478.57877996072705,266.8693268254214,139.30596206716856,679.1137901476213,632.7442144961129,679.0896277808367,432.9193636652446
7,298.30764638610117,637.642353613874,286.1882426130736,484.4727445298123,272.97666068953384,144.66211703928494,684.8172142056776,637.6431603533184,684.8407449491392,439.01094191811967
8,290.0634452835261,637.108463327552,282.46119319984996,480.6897278170735,267.75224528049233,136.24471790464526,681.8384258024879,637.109272375736,681.6714461443512,432.27487410293696
9,296.2156258919781,641.3555548310687,288.0177596073671,486.2885613231545,273.745592025634,142.40929420355124,687.1597480155472,641.3563627667049,687.0636741592075,438.53029013193344
10,296.29631182508246,641.8120462346244,288.3831455261137,486.650304302844,274.0457045703363,142.50261343544713,687.5504786084072,641.8128542165445,687.4477983052084,438.73832609837405
11,293.4784946233473,637.7180152651673,284.259716050561,482.5338518229005,270.1064261691014,139.68030211844575,683.388729353936,637.7188234459642,683.2936638050713,435.19056359909365
12,293.1599467228855,638.6540910615182,284.82016663936764,483.0806405927667,270.43871625583677,139.34135341745625,684.0430127869517,638.6548994700357,683.9228331727003,435.23671645434615
